Date: 2023/12/11   09:10:59,,,,,,,,,,,,
Time,Grip Force_rd1(g),Height_rd1(cm),Grip Force_rd2(g),Height_rd2(cm),Grip Force_rd3(g),Height_rd3(cm),Grip Force_rd4(g),Height_rd4(cm),Grip Force_rd5(g),Height_rd5(cm),Grip Force_rd6(g),Height_rd6(cm)
85,139.7,2,217.2,2.3,78.9,2.4,121.3,3.4,82.2,2.3,325.5,3.3
86,140.4,2.3,229.5,2.3,78.9,2.4,115.8,2.8,82.6,2.3,329.1,2.5
87,140.4,2.3,237.1,2.3,96.1,2.2,115.8,2.8,82.8,2.3,330.3,2.5
88,138.3,2.3,241.5,2.3,96.1,2.2,117.3,2.8,81.6,2,330.3,2.5
89,138.3,2.3,243.4,2.1,96.1,2.2,113.3,2.3,81.6,2,337.9,2.5
90,136.9,2.3,249.4,2.1,107.5,2.2,112.8,2.3,83.7,2,340.9,2.1
91,136.9,2.3,251.3,2.1,112.5,2.2,112.8,2.3,90.8,2.1,344.4,2.1
92,139.7,2.3,251.3,2.1,112.5,2.2,111.9,2.3,93.1,2.1,344.4,2.1
93,139.9,2.3,248.5,1.8,116.7,2.2,111.5,2.6,93.1,2.1,346.2,2.4
94,140.3,2.2,248.5,1.8,128.4,2.2,109,2.6,96,2.1,346.8,2.4
95,140.3,2.2,238,1.8,132,2.3,109,2.6,96.8,2.1,346.8,2.4
96,139.8,2.2,238,2.7,132,2.3,105.6,2.6,96.8,2.1,345.4,2.4
97,139.8,2.3,234.4,2.7,139.3,2.3,105.6,2.6,102.8,2.1,345.4,2.4
98,138.6,2.3,223.9,2.7,142.2,2.4,103.3,2.6,111.3,2.1,352.5,2.4
99,138.6,2.3,222.6,2.7,149.7,2.4,103.3,2.6,113.4,2.2,352.5,2.4
100,137.7,2.3,222.6,2.5,149.7,2.4,103.5,2.8,116.8,2.2,356.3,2.4
101,137.7,2.1,217,2.5,153.4,2.4,101.1,2.8,118.3,2.2,356.7,2.8
102,134.8,2.1,209.7,2.5,155.4,2.5,101.1,2.8,118.3,2.3,356.7,2.8
103,136.8,2.1,205.2,2.5,161.5,2.5,98.4,2.8,133.5,2.3,355.6,2.8
104,134.1,2.1,205.2,2.8,161.5,2.5,98.4,3.1,133.5,2.3,355.2,2.7
105,134.1,2.2,202.9,2.8,162.6,2.5,96.6,3.1,138.2,2.3,355.2,2.7
106,134.1,2.2,198,2.8,162.3,2,98.3,3.1,142.5,2.2,365.7,2.7
107,134.4,2.2,193.9,2.2,159.3,2,97,3.1,148.5,2.2,365.7,2.7
108,135.3,2.2,193.9,2.2,159.3,2,97,2.8,148.5,2.2,371.7,3.2
109,137.3,2.2,190.3,2.2,157.2,2.4,97,2.8,149.1,2.2,374.6,3.2
110,137.3,2.2,186.9,2.2,154.5,2.4,97,2.8,149.1,2.1,379.8,3.2
111,136.9,2.2,186,2.8,153.6,2.4,96.1,2.9,152.7,2.1,383.3,3.2
112,135.2,1.9,186,2.8,153.6,2.4,95.4,2.9,152.7,2.1,387,2.7
113,136.3,1.9,183,2.8,155.5,3.6,95.7,2.9,152.8,2.1,390.3,2.7
114,136.3,1.9,181.8,2.8,155.5,3.6,95.7,2.9,152.8,2.2,411,2.7
115,137.7,1.9,179.4,3.5,157.5,3.6,96.1,3,157.9,2.2,411,2.4
116,138.3,2.1,179.4,3.5,157.5,3.6,96.6,3,157.9,2.2,415.9,2.4
117,138.3,2.1,181,3.5,158.3,2.5,96.9,3,157.9,2.2,429.3,2.4
118,137.7,2.1,179.5,3.9,158.1,2.5,96.9,3,159,2.2,436.5,2.4
119,141.2,2.1,179.4,3.9,155.3,2.5,96.9,2.8,156.9,2.2,443.8,2.6
120,134.7,2.1,176.7,3.9,151.8,2.1,96.9,2.8,155.5,2.2,466.8,2.6
121,134.7,2.1,176.4,3.9,151.8,2.1,95.8,2.8,153.2,3.2,482.1,2.6
122,137.8,2.1,174.9,4.2,145.7,2.1,95.8,3.1,153.2,3.2,492.1,2.6
123,143.7,2.3,174.9,4.2,145.7,2.1,95.3,3.1,153.2,3.2,492.1,2.4
124,145.3,2.3,173.7,4.2,145.8,2.1,95.4,3.1,153.2,3.2,523.5,2.4
125,147.9,2.3,173.3,4.2,145.8,2.1,95.3,3.1,150,2.4,552.1,2.4
126,149.4,2.3,173.8,4.8,146.3,2.1,95.3,3,147.2,2.4,552.1,2.9
127,149.4,2.2,174.2,4.8,146.3,2.1,95.1,3,145.3,2.4,552.1,2.9
128,145.2,2.2,175.9,4.8,143.8,2.1,94.8,3,145.3,2.3,570.9,2.9
129,145.2,2.2,175.9,5.1,143.8,2.1,92.5,3,141.8,2.3,574.2,2.9
130,145.2,2.3,178.7,5.1,142.2,2.1,92.5,2.9,140.5,2.3,574.2,3.6
131,147.9,2.3,178.7,5.1,142.2,2.1,94.6,2.9,140.7,2.3,574.2,3.6
132,147.2,2.3,178.2,5.1,137.3,2.1,94.8,2.9,140.7,1.8,567.8,3.6
133,146.3,2.3,178.2,5.4,137.3,2.1,94.5,3.3,136.9,1.8,554.1,3.6
134,147,2.1,176.8,5.4,135.3,2.1,94.5,3.3,134.1,1.8,554.1,4.2
135,149.1,2.1,176.8,5.4,136.2,2.2,94,3.3,134.1,1.8,539.5,4.2
136,149.1,2.1,171.9,5.4,134.4,2.2,93.1,3.3,130.5,1.8,539.5,4.2
137,151.5,2.1,173.5,5.5,134.4,2.2,93,3.1,130.5,1.8,533.4,4.7
138,154.7,2,173.8,5.5,133.2,2.2,92,3.1,126.4,1.8,514,4.7
139,157,2,174.3,5.5,131.1,2,93.1,3.1,126.4,2.2,506.1,4.7
140,160,2,173.1,6.1,129.9,2,93.1,3.1,124.8,2.2,506.1,4.7
141,161.1,2,173.1,6.1,128.4,2,92.4,2.9,124.8,2.2,493.9,5.1
142,162.6,2,173.5,6.1,125.4,2.1,92,2.9,126,2.2,487,5.1
143,161.3,2,173.5,6.1,125.4,2.1,92,2.9,126,2.4,463.6,5.1
144,163.7,2,170.4,6.4,123.4,2.1,91.3,2.8,123.4,2.4,463.6,5.1
145,163.7,2.1,170.1,6.4,119.7,2.1,91.5,2.8,124,2.4,449.8,5
146,166.2,2.1,168.9,6.4,118.3,2.3,89.1,2.8,121.2,2.4,449.8,5
147,167.4,2.1,168.9,6.4,118.3,2.3,89.1,2.8,121.2,2.2,445.2,5
148,167.3,2.1,164.7,6.4,115.8,2.3,89.7,2.6,120.1,2.2,443.6,5.2
149,167.3,2.2,165.3,6.4,116.5,2.3,90.3,2.6,120.1,2.2,443.6,5.2
150,166.8,2.2,163.5,6.4,117.3,2.8,89.7,2.6,120.4,2.3,443.6,5.2
151,166.2,2.2,163.5,6.9,117.3,2.8,90.8,2.6,120.4,2.3,443.3,5.2
152,165.4,2.1,161.4,6.9,116.3,2.8,91,2.9,117.6,2.3,440.3,5.7
153,165.4,2.1,160.7,6.9,116.1,2.5,91,2.9,117.6,2.3,434.3,5.7
154,165.4,2.1,162.3,6.9,116.1,2.5,90.9,2.9,117.9,2.2,434.3,5.7
155,165.4,2.1,162.3,7,114,2.5,86.5,2.9,117.9,2.2,423.8,5.7
156,166.5,2.3,162,7,114,2.5,89.7,2.9,117.6,2.2,418.6,5.8
157,168.3,2.3,160.9,7,115.3,1.9,89.7,2.9,118.2,2.2,419.4,5.8
158,170.5,2.3,159.6,7,115.3,1.9,88.5,2.9,117.8,2.3,419.4,5.8
159,176.5,2.3,159.6,7.1,113.7,1.9,88,3.1,117.8,2.3,421.9,5.7
160,176.5,2.3,156.4,7.1,114.9,1.9,85.5,3.1,115.8,2.3,423.9,5.7
161,176.5,2.3,157.5,7.1,113.3,2.2,85.5,3.1,115.5,2.5,424.1,5.7
162,194.5,2.3,156.8,7.1,113.3,2.2,87.1,3.1,114.9,2.5,424.1,5.7
163,205.3,2.2,156.8,7.1,113.3,2.2,87,3.1,114.9,2.5,418.3,6.2
164,211.9,2.2,157.9,7.1,114.3,2.2,87.8,3.1,115,2.5,411,6.2
165,211.9,2.2,157.2,7.1,114.3,2.2,87.8,3.1,115.9,2,411,6.2
166,232.5,2.2,157.2,7,112.3,2.2,87.6,2.8,116.1,2,405.8,6.2
167,232.5,2.1,155.7,7,114,2.2,87.3,2.8,116.1,2,405.8,6.3
168,240.9,2.1,155.5,7,114,2.3,87.5,2.8,116.4,2,397.8,6.3
169,240.9,2.1,153.2,7,114.6,2.3,87.5,2.8,116.7,2,400.3,6.3
170,258.9,2.1,154,7.1,114.6,2.3,84.6,2.9,117,2,400.1,6.1
171,258.9,2.2,152.8,7.1,113.7,2.3,86.4,2.9,117.4,2,400.1,6.1
172,261.3,2.2,152.8,7.1,114.6,1.8,86.4,2.9,117.4,2.2,397.1,6.1
173,270,2.2,151.7,7,113.5,1.8,87.3,2.9,116.4,2.2,397.1,6.1
174,273.6,2.2,151.7,7,113.5,1.8,88.5,3.2,116.4,2.2,396.6,6.2
